  Counts    Number of Items in Equivalence Class  Isoforms in Equivalence Class
--------  --------------------------------------  --------------------------------------------------------------------------------------------------------------------
      43                                       5  ENST00000410108 ENST00000325147 ENST00000382762 ENST00000332865 ENST00000486280
      72                                       1  ENST00000410108
  231720                                       0  NA
      15                                       5  ENST00000410108 ENST00000325147 ENST00000382762 ENST00000529614 ENST00000332865
       2                                       4  ENST00000410108 ENST00000325147 ENST00000382762 ENST00000332865
       3                                       3  ENST00000410108 ENST00000325147 ENST00000382762
       1                                       2  ENST00000410108 ENST00000325147
       6                                       4  ENST00000410108 ENST00000325147 ENST00000382762 ENST00000529614
     103                                       5  ENST00000325147 ENST00000382762 ENST00000529614 ENST00000332865 ENST00000486280
    1038                                       2  ENST00000325147 ENST00000382762
      10                                       1  ENST00000325147
      22                                       4  ENST00000325147 ENST00000382762 ENST00000529614 ENST00000332865
      15                                       3  ENST00000325147 ENST00000382762 ENST00000529614
      19                                       4  ENST00000325147 ENST00000382762 ENST00000529614 ENST00000486280
      37                                       2  ENST00000382762 ENST00000486280
       4                                       1  ENST00000382762
     176                                       5  ENST00000526104 ENST00000325207 ENST00000527696 ENST00000524854 ENST00000529275
     205                                       1  ENST00000526104
      43                                       3  ENST00000526104 ENST00000527696 ENST00000527728
     129                                       2  ENST00000526104 ENST00000325207
     468                                       3  ENST00000526104 ENST00000325207 ENST00000527696
     177                                       4  ENST00000526104 ENST00000325207 ENST00000527696 ENST00000527728
      38                                       7  ENST00000526104 ENST00000325207 ENST00000528357 ENST00000526982 ENST00000530889 ENST00000527696 ENST00000527728
     117                                       4  ENST00000526104 ENST00000325207 ENST00000527696 ENST00000524854
     111                                       5  ENST00000526104 ENST00000325207 ENST00000526982 ENST00000527696 ENST00000527728
      95                                       7  ENST00000526104 ENST00000325207 ENST00000528357 ENST00000526982 ENST00000530889 ENST00000527696 ENST00000527468
      17                                       4  ENST00000526104 ENST00000325207 ENST00000528357 ENST00000526982
      42                                       6  ENST00000526104 ENST00000325207 ENST00000526982 ENST00000530889 ENST00000527696 ENST00000527468
       4                                       8  ENST00000526104 ENST00000325207 ENST00000528357 ENST00000526982 ENST00000530889 ENST00000527696 ENST00000527468 ENST00000527728
      21                                       5  ENST00000526104 ENST00000325207 ENST00000526982 ENST00000530889 ENST00000527468
      30                                       3  ENST00000526104 ENST00000325207 ENST00000528357
      11                                       6  ENST00000526104 ENST00000325207 ENST00000526982 ENST00000530889 ENST00000527696 ENST00000527728
       3                                       4  ENST00000526104 ENST00000325207 ENST00000527696 ENST00000529275
      16                                       1  ENST00000325207
       1                                       3  ENST00000526982 ENST00000530889 ENST00000527468
       8                                       3  ENST00000526982 ENST00000527696 ENST00000527468
       3                                       1  ENST00000530889
      32                                       1  ENST00000527696
      15                                       2  ENST00000527696 ENST00000527468
      12                                       1  ENST00000524854
       2                                       1  ENST00000529275
      52                                       1  ENST00000382743
      39                                       4  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319
      21                                       5  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564
       5                                       3  ENST00000382743 ENST00000529937 ENST00000532837
       9                                       9  ENST00000382743 ENST00000532837 ENST00000532956 ENST00000529382 ENST00000529055 ENST00000530067 ENST00000528469 ENST00000525776 ENST00000525237
       3                                       2  ENST00000382743 ENST00000529937
      30                                       5  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000529382
       6                                       2  ENST00000382743 ENST00000532956
      19                                       5  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000532956 ENST00000529382
      10                                       6  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000529382 ENST00000526854
      26                                       6  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956
      26                                       7  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000529382
      29                                      10  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000529382 ENST00000526854 ENST00000529055 ENST00000530067 ENST00000528469
      20                                       7  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000529382 ENST00000526854
      15                                       9  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000532956 ENST00000529382 ENST00000526854 ENST00000529055 ENST00000530067 ENST00000528469
       4                                      11  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000532956 ENST00000529382 ENST00000526854 ENST00000529055 ENST00000530067 ENST00000528469 ENST00000525776 ENST00000525237
       9                                       5  ENST00000382743 ENST00000524564 ENST00000532956 ENST00000526854 ENST00000525237
      12                                       8  ENST00000382743 ENST00000532837 ENST00000532956 ENST00000529382 ENST00000529055 ENST00000530067 ENST00000528469 ENST00000525776
       4                                      10  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000526854 ENST00000529055 ENST00000530067 ENST00000525237
       8                                       6  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000529382
       3                                       1  ENST00000529937
       3                                       2  ENST00000529937 ENST00000524564
       9                                       3  ENST00000532837 ENST00000529055 ENST00000530067
       2                                       9  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000526854 ENST00000529055 ENST00000530067
       4                                      10  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000532956 ENST00000529382 ENST00000526854 ENST00000529055 ENST00000530067 ENST00000528469 ENST00000525776
       2                                       7  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000529382 ENST00000526854 ENST00000529055
       1                                       7  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000529055 ENST00000530067
       1                                       8  ENST00000382743 ENST00000529937 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000529055 ENST00000530067
       3                                       1  ENST00000524564
       1                                       8  ENST00000382743 ENST00000532837 ENST00000525319 ENST00000524564 ENST00000532956 ENST00000529382 ENST00000526854 ENST00000529055
       1                                       1  ENST00000532956
       1                                       1  ENST00000526854
       3                                       2  ENST00000529382 ENST00000528469
       4                                       1  ENST00000528469
       6                                       1  ENST00000525776
      75                                       7  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000352303 ENST00000382671
     219                                       4  ENST00000532097 ENST00000431206 ENST00000525665 ENST00000382671
     695                                       7  ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000352303 ENST00000382671 ENST00000526783
      53                                       6  ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000352303 ENST00000382671
     174                                       3  ENST00000529372 ENST00000532097 ENST00000352303
     349                                       5  ENST00000532097 ENST00000431206 ENST00000525665 ENST00000352303 ENST00000382671
     136                                       5  ENST00000529372 ENST00000532097 ENST00000525665 ENST00000352303 ENST00000382671
     405                                       6  ENST00000532097 ENST00000431206 ENST00000525665 ENST00000352303 ENST00000382671 ENST00000526783
       6                                       1  ENST00000532097
       2                                       6  ENST00000529372 ENST00000532097 ENST00000528906 ENST00000525665 ENST00000352303 ENST00000382671
     107                                       5  ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000382671
     150                                       8  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000352303 ENST00000382671 ENST00000526783
      56                                       4  ENST00000529372 ENST00000532097 ENST00000525665 ENST00000352303
      23                                       5  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665
      15                                       3  ENST00000532097 ENST00000431206 ENST00000382671
       8                                       6  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000352303
      13                                       4  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000528906
       4                                       6  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000525665 ENST00000352303 ENST00000382671
       6                                       3  ENST00000529372 ENST00000532097 ENST00000431206
       3                                       6  ENST00000532097 ENST00000431206 ENST00000528906 ENST00000525665 ENST00000382671 ENST00000526783
       1                                       2  ENST00000529372 ENST00000532097
       1                                       5  ENST00000529372 ENST00000532097 ENST00000431206 ENST00000525665 ENST00000352303
       2                                       2  ENST00000431206 ENST00000525665
       1                                       1  ENST00000525665
       1                                       1  ENST00000352303
       6                                       1  ENST00000382671
       2                                       1  ENST00000526783
       1                                       1  ENST00000534750
     287                                       3  ENST00000409548 ENST00000409655 ENST00000409479
      73                                       2  ENST00000409548 ENST00000409655
     111                                       4  ENST00000409548 ENST00000409655 ENST00000409479 ENST00000482937
      62                                       2  ENST00000409548 ENST00000409479
      43                                       1  ENST00000409548
      99                                       4  ENST00000409548 ENST00000409655 ENST00000409479 ENST00000397660
      13                                       3  ENST00000409548 ENST00000409479 ENST00000482937
      18                                       1  ENST00000409655
      37                                       1  ENST00000409479
       1                                       1  ENST00000397660
       1                                       1  ENST00000382614
       3                                       1  ENST00000533141
      13                                      10  ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261 ENST00000527146 ENST00000681211
     254                                      11  ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146 ENST00000681211
     136                                       9  ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146
     206                                       3  ENST00000533141 ENST00000616316 ENST00000680197
     267                                      15  ENST00000681810 ENST00000681914 ENST00000680081 ENST00000679962 ENST00000681900 ENST00000681276 ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261 ENST00000602569
      56                                       1  ENST00000616316
       6                                       8  ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680619 ENST00000681833 ENST00000527146 ENST00000681211
      76                                      14  ENST00000681810 ENST00000681914 ENST00000680081 ENST00000679962 ENST00000681900 ENST00000681276 ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261
     180                                       7  ENST00000616316 ENST00000399817 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146
      92                                       8  ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146
     111                                       4  ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344
      50                                       4  ENST00000533141 ENST00000616316 ENST00000680197 ENST00000399815
     189                                      10  ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146 ENST00000681211
      59                                       8  ENST00000616316 ENST00000399817 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146 ENST00000681211
       3                                       4  ENST00000533141 ENST00000616316 ENST00000680197 ENST00000680619
      97                                       7  ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261
      11                                       2  ENST00000616316 ENST00000399817
     101                                      16  ENST00000681810 ENST00000681914 ENST00000680081 ENST00000679962 ENST00000681900 ENST00000681276 ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000527146
      10                                       3  ENST00000616316 ENST00000399817 ENST00000680197
       1                                       7  ENST00000616316 ENST00000399817 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000602569 ENST00000681211
      14                                       7  ENST00000533141 ENST00000616316 ENST00000680197 ENST00000680619 ENST00000681833 ENST00000527146 ENST00000681211
      78                                       1  ENST00000399817
       3                                       9  ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680619 ENST00000681833 ENST00000680261 ENST00000527146 ENST00000681211
       5                                      13  ENST00000681810 ENST00000681914 ENST00000680081 ENST00000681900 ENST00000681276 ENST00000533141 ENST00000616316 ENST00000399817 ENST00000680197 ENST00000680344 ENST00000680619 ENST00000681833 ENST00000680261
       1                                       6  ENST00000616316 ENST00000399817 ENST00000680344 ENST00000681833 ENST00000680261 ENST00000681211
      85                                       1  ENST00000680197
